Locus	Gene	Product	Group1_replicate 1	Group1_replicate 2	Group1_replicate 3	Group2_replicate 1	Group2_replicate 2	Group2_replicate 3	Group3_replicate 1	Group3_replicate 2	Group3_replicate 3	Input_ replicate 1	Input_replicate 2
FQ312003_intergenic_1022295_1022307	FQ312003_intergenic_1022295_1022307	FQ312003_intergenic_1022295_1022307	2	1	0	4	1	2	0	1	7	570	873
FQ312003_intergenic_1024082_1024136	FQ312003_intergenic_1024082_1024136	FQ312003_intergenic_1024082_1024136	0	2	0	0	0	2	0	0	1	17	31
FQ312003_intergenic_1024522_1024650	FQ312003_intergenic_1024522_1024650	FQ312003_intergenic_1024522_1024650	0	0	0	0	0	0	0	2	4	35	21
FQ312003_intergenic_1032028_1032137	FQ312003_intergenic_1032028_1032137	FQ312003_intergenic_1032028_1032137	1	0	0	0	1	0	0	0	0	109	102
FQ312003_intergenic_1033888_1033922	FQ312003_intergenic_1033888_1033922	FQ312003_intergenic_1033888_1033922	0	0	0	0	0	0	0	0	0	18	11
FQ312003_intergenic_1041293_1041536	FQ312003_intergenic_1041293_1041536	FQ312003_intergenic_1041293_1041536	2	2	0	3	0	0	0	3	4	331	255
FQ312003_intergenic_1043479_1043637	FQ312003_intergenic_1043479_1043637	FQ312003_intergenic_1043479_1043637	5	0	0	2	0	0	0	2	12	1123	1003
FQ312003_intergenic_1046214_1046297	FQ312003_intergenic_1046214_1046297	FQ312003_intergenic_1046214_1046297	3	0	0	0	0	0	0	0	0	60	50
FQ312003_intergenic_1047490_1047995	FQ312003_intergenic_1047490_1047995	FQ312003_intergenic_1047490_1047995	4	2	0	0	1	2	2	1	11	7172	3790
FQ312003_intergenic_1049497_1049596	FQ312003_intergenic_1049497_1049596	FQ312003_intergenic_1049497_1049596	0	0	0	0	1	0	0	0	1	281	438
FQ312003_intergenic_1050159_1050374	FQ312003_intergenic_1050159_1050374	FQ312003_intergenic_1050159_1050374	3	0	0	2	0	2	0	0	0	132	99
FQ312003_intergenic_1051690_1051833	FQ312003_intergenic_1051690_1051833	FQ312003_intergenic_1051690_1051833	4	1	0	0	0	0	0	0	0	8	12
FQ312003_intergenic_1054651_1054744	FQ312003_intergenic_1054651_1054744	FQ312003_intergenic_1054651_1054744	2	0	0	1	0	0	0	0	5	90	106
FQ312003_intergenic_1060759_1060784	FQ312003_intergenic_1060759_1060784	FQ312003_intergenic_1060759_1060784	0	1	0	0	0	0	1	0	0	4	5
FQ312003_intergenic_1062009_1062301	FQ312003_intergenic_1062009_1062301	FQ312003_intergenic_1062009_1062301	4	0	0	0	0	0	0	0	3	520	396
FQ312003_intergenic_1065631_1065821	FQ312003_intergenic_1065631_1065821	FQ312003_intergenic_1065631_1065821	0	0	0	0	0	2	0	1	5	375	274
FQ312003_intergenic_1066156_1066470	FQ312003_intergenic_1066156_1066470	FQ312003_intergenic_1066156_1066470	0	0	0	2	4	0	0	2	6	2030	1572
FQ312003_intergenic_1067174_1067281	FQ312003_intergenic_1067174_1067281	FQ312003_intergenic_1067174_1067281	1	0	0	0	0	0	0	0	0	10	27
FQ312003_intergenic_1069308_1069380	FQ312003_intergenic_1069308_1069380	FQ312003_intergenic_1069308_1069380	0	0	0	0	0	0	0	1	0	19	17
FQ312003_intergenic_1069607_1069641	FQ312003_intergenic_1069607_1069641	FQ312003_intergenic_1069607_1069641	2	0	0	0	0	0	0	0	1	37	45
FQ312003_intergenic_1070192_1070451	FQ312003_intergenic_1070192_1070451	FQ312003_intergenic_1070192_1070451	2	2	0	0	2	0	4	0	1	208	170
FQ312003_intergenic_1071239_1071407	FQ312003_intergenic_1071239_1071407	FQ312003_intergenic_1071239_1071407	2	0	0	0	0	0	1	0	0	230	143
FQ312003_intergenic_1072777_1072883	FQ312003_intergenic_1072777_1072883	FQ312003_intergenic_1072777_1072883	3	0	0	0	0	0	0	0	0	11	17
FQ312003_intergenic_1075613_1075711	FQ312003_intergenic_1075613_1075711	FQ312003_intergenic_1075613_1075711	2	0	0	0	0	0	1	0	0	9	21
FQ312003_intergenic_108224_108376	FQ312003_intergenic_108224_108376	FQ312003_intergenic_108224_108376	2	5	0	1	0	1	1	1	3	191	171
FQ312003_intergenic_1086539_1086554	FQ312003_intergenic_1086539_1086554	FQ312003_intergenic_1086539_1086554	0	0	1	1	0	0	0	0	0	2	2
FQ312003_intergenic_1092745_1092978	FQ312003_intergenic_1092745_1092978	FQ312003_intergenic_1092745_1092978	1	0	0	0	0	0	0	0	0	22	20
FQ312003_intergenic_1096087_1096242	FQ312003_intergenic_1096087_1096242	FQ312003_intergenic_1096087_1096242	0	2	0	0	0	0	0	0	0	92	72
FQ312003_intergenic_1097828_1097858	FQ312003_intergenic_1097828_1097858	FQ312003_intergenic_1097828_1097858	0	2	0	1	0	0	0	2	4	32	29
FQ312003_intergenic_1099625_1099794	FQ312003_intergenic_1099625_1099794	FQ312003_intergenic_1099625_1099794	1	0	0	2	2	0	2	1	2	604	288
FQ312003_intergenic_1100087_1100412	FQ312003_intergenic_1100087_1100412	FQ312003_intergenic_1100087_1100412	1	0	0	2	0	3	2	0	0	588	420
FQ312003_intergenic_1103126_1103205	FQ312003_intergenic_1103126_1103205	FQ312003_intergenic_1103126_1103205	3	0	0	0	0	1	1	0	2	7	14
FQ312003_intergenic_1104344_1104408	FQ312003_intergenic_1104344_1104408	FQ312003_intergenic_1104344_1104408	3	1	0	0	0	0	0	1	3	263	231
FQ312003_intergenic_1113758_1113912	FQ312003_intergenic_1113758_1113912	FQ312003_intergenic_1113758_1113912	2	1	0	0	0	0	0	3	1	148	178
FQ312003_intergenic_1116454_1116712	FQ312003_intergenic_1116454_1116712	FQ312003_intergenic_1116454_1116712	0	0	6	4	0	2	0	2	9	731	387
FQ312003_intergenic_1118390_1118645	FQ312003_intergenic_1118390_1118645	FQ312003_intergenic_1118390_1118645	4	5	5	24	10	13	0	16	54	5668	4619
FQ312003_intergenic_1119256_1119371	FQ312003_intergenic_1119256_1119371	FQ312003_intergenic_1119256_1119371	2	1	0	0	0	0	3	0	0	40	18
FQ312003_intergenic_1122683_1122705	FQ312003_intergenic_1122683_1122705	FQ312003_intergenic_1122683_1122705	0	0	0	0	0	0	0	0	2	17	7
FQ312003_intergenic_1126112_1126181	FQ312003_intergenic_1126112_1126181	FQ312003_intergenic_1126112_1126181	0	0	0	0	0	0	0	0	1	72	38
FQ312003_intergenic_1128330_1128443	FQ312003_intergenic_1128330_1128443	FQ312003_intergenic_1128330_1128443	1	0	0	0	0	0	0	0	0	182	111
FQ312003_intergenic_11296_11542	FQ312003_intergenic_11296_11542	FQ312003_intergenic_11296_11542	3	2	1	7	1	6	0	7	0	1619	1947
FQ312003_intergenic_112962_113034	FQ312003_intergenic_112962_113034	FQ312003_intergenic_112962_113034	3	1	0	0	1	1	0	0	1	273	333
FQ312003_intergenic_1131219_1131819	FQ312003_intergenic_1131219_1131819	FQ312003_intergenic_1131219_1131819	3	1	0	9	1	2	4	0	7	599	328
FQ312003_intergenic_1132601_1132721	FQ312003_intergenic_1132601_1132721	FQ312003_intergenic_1132601_1132721	3	2	1	8	2	5	0	8	14	68	45
FQ312003_intergenic_1133698_1133808	FQ312003_intergenic_1133698_1133808	FQ312003_intergenic_1133698_1133808	1	0	2	4	2	4	0	10	16	263	111
FQ312003_intergenic_1136289_1136519	FQ312003_intergenic_1136289_1136519	FQ312003_intergenic_1136289_1136519	2	0	0	2	2	2	0	0	3	586	390
FQ312003_intergenic_1138480_1138551	FQ312003_intergenic_1138480_1138551	FQ312003_intergenic_1138480_1138551	0	1	0	2	0	0	0	0	1	63	42
FQ312003_intergenic_1141236_1141467	FQ312003_intergenic_1141236_1141467	FQ312003_intergenic_1141236_1141467	4	2	0	0	0	2	0	1	2	58	94
FQ312003_intergenic_1143661_1143777	FQ312003_intergenic_1143661_1143777	FQ312003_intergenic_1143661_1143777	3	1	0	0	0	0	2	0	0	30	50
FQ312003_intergenic_1144319_1144492	FQ312003_intergenic_1144319_1144492	FQ312003_intergenic_1144319_1144492	4	1	0	1	0	0	0	2	4	102	35
FQ312003_intergenic_1148589_1148630	FQ312003_intergenic_1148589_1148630	FQ312003_intergenic_1148589_1148630	2	0	0	0	1	0	1	0	0	14	11
FQ312003_intergenic_1153643_1153949	FQ312003_intergenic_1153643_1153949	FQ312003_intergenic_1153643_1153949	5	2	0	0	0	2	1	1	0	370	187
FQ312003_intergenic_1154413_1154965	FQ312003_intergenic_1154413_1154965	FQ312003_intergenic_1154413_1154965	5	6	0	0	0	0	2	0	7	170	89
FQ312003_intergenic_1156292_1156425	FQ312003_intergenic_1156292_1156425	FQ312003_intergenic_1156292_1156425	0	0	0	0	0	0	0	0	2	158	115
FQ312003_intergenic_1159940_1159971	FQ312003_intergenic_1159940_1159971	FQ312003_intergenic_1159940_1159971	0	0	0	0	0	0	1	0	2	2	4
FQ312003_intergenic_1162192_1162475	FQ312003_intergenic_1162192_1162475	FQ312003_intergenic_1162192_1162475	4	0	0	0	3	2	2	0	8	2243	1311
FQ312003_intergenic_1162744_1162779	FQ312003_intergenic_1162744_1162779	FQ312003_intergenic_1162744_1162779	0	1	0	1	1	0	2	1	2	326	137
FQ312003_intergenic_116305_116768	FQ312003_intergenic_116305_116768	FQ312003_intergenic_116305_116768	9	0	0	0	1	0	2	0	4	114	63
FQ312003_intergenic_1167932_1168252	FQ312003_intergenic_1167932_1168252	FQ312003_intergenic_1167932_1168252	1	2	0	0	0	0	0	0	4	181	125
FQ312003_intergenic_1169862_1170587	FQ312003_intergenic_1169862_1170587	FQ312003_intergenic_1169862_1170587	3	0	0	0	5	6	0	2	14	10225	4185
FQ312003_intergenic_1172530_1172713	FQ312003_intergenic_1172530_1172713	FQ312003_intergenic_1172530_1172713	4	0	0	4	0	0	0	0	2	148	286
FQ312003_intergenic_1174311_1174546	FQ312003_intergenic_1174311_1174546	FQ312003_intergenic_1174311_1174546	2	2	0	0	1	1	0	0	0	72	55
FQ312003_intergenic_1175328_1175732	FQ312003_intergenic_1175328_1175732	FQ312003_intergenic_1175328_1175732	4	2	0	0	2	2	0	1	0	225	81
FQ312003_intergenic_1177732_1177913	FQ312003_intergenic_1177732_1177913	FQ312003_intergenic_1177732_1177913	1	0	0	1	0	1	0	1	2	23	15
FQ312003_intergenic_117990_118029	FQ312003_intergenic_117990_118029	FQ312003_intergenic_117990_118029	0	0	0	0	0	0	0	0	0	3	4
FQ312003_intergenic_1180412_1181154	FQ312003_intergenic_1180412_1181154	FQ312003_intergenic_1180412_1181154	5	2	3	2	1	0	56	1	12	155	113
FQ312003_intergenic_1184962_1184974	FQ312003_intergenic_1184962_1184974	FQ312003_intergenic_1184962_1184974	1	0	0	0	0	0	0	0	0	43	32
FQ312003_intergenic_1186569_1187222	FQ312003_intergenic_1186569_1187222	FQ312003_intergenic_1186569_1187222	5	0	0	0	0	0	2	0	0	38	29
FQ312003_intergenic_1188664_1188693	FQ312003_intergenic_1188664_1188693	FQ312003_intergenic_1188664_1188693	0	0	0	0	0	0	0	0	0	115	67
FQ312003_intergenic_1192338_1192508	FQ312003_intergenic_1192338_1192508	FQ312003_intergenic_1192338_1192508	3	1	0	0	0	0	1	0	0	743	572
FQ312003_intergenic_1198653_1198706	FQ312003_intergenic_1198653_1198706	FQ312003_intergenic_1198653_1198706	2	0	0	0	0	0	4	0	3	56	69
FQ312003_intergenic_1199728_1199846	FQ312003_intergenic_1199728_1199846	FQ312003_intergenic_1199728_1199846	0	1	0	0	0	0	0	0	0	111	61
FQ312003_intergenic_1202196_1202357	FQ312003_intergenic_1202196_1202357	FQ312003_intergenic_1202196_1202357	2	0	0	0	1	0	0	0	2	91	66
FQ312003_intergenic_1203731_1203742	FQ312003_intergenic_1203731_1203742	FQ312003_intergenic_1203731_1203742	0	0	0	0	0	0	0	0	0	129	138
FQ312003_intergenic_1204101_1204286	FQ312003_intergenic_1204101_1204286	FQ312003_intergenic_1204101_1204286	0	0	0	0	0	1	0	2	3	858	734
FQ312003_intergenic_1206418_1206441	FQ312003_intergenic_1206418_1206441	FQ312003_intergenic_1206418_1206441	0	0	0	0	0	0	0	0	2	81	56
FQ312003_intergenic_1208462_1208597	FQ312003_intergenic_1208462_1208597	FQ312003_intergenic_1208462_1208597	1	0	0	0	0	0	0	0	2	124	87
FQ312003_intergenic_1210891_1211054	FQ312003_intergenic_1210891_1211054	FQ312003_intergenic_1210891_1211054	0	0	0	0	0	0	0	0	0	54	38
FQ312003_intergenic_121353_121592	FQ312003_intergenic_121353_121592	FQ312003_intergenic_121353_121592	6	2	0	0	0	0	0	0	3	67	61
FQ312003_intergenic_1214283_1214338	FQ312003_intergenic_1214283_1214338	FQ312003_intergenic_1214283_1214338	2	0	0	0	0	0	0	0	3	7	11
FQ312003_intergenic_1224290_1224445	FQ312003_intergenic_1224290_1224445	FQ312003_intergenic_1224290_1224445	4	0	0	0	0	0	2	0	1	8	7
FQ312003_intergenic_122539_122556	FQ312003_intergenic_122539_122556	FQ312003_intergenic_122539_122556	0	0	1	0	0	0	0	0	0	84	49
FQ312003_intergenic_1227750_1228222	FQ312003_intergenic_1227750_1228222	FQ312003_intergenic_1227750_1228222	2	6	2	0	4	2	6	2	23	700	741
FQ312003_intergenic_1229283_1229337	FQ312003_intergenic_1229283_1229337	FQ312003_intergenic_1229283_1229337	0	3	0	0	0	0	0	1	1	3	14
FQ312003_intergenic_1230182_1230286	FQ312003_intergenic_1230182_1230286	FQ312003_intergenic_1230182_1230286	0	1	0	2	2	0	1	2	3	138	124
FQ312003_intergenic_1231268_1231364	FQ312003_intergenic_1231268_1231364	FQ312003_intergenic_1231268_1231364	2	0	0	2	0	0	2	1	9	1073	833
FQ312003_intergenic_1232212_1232244	FQ312003_intergenic_1232212_1232244	FQ312003_intergenic_1232212_1232244	1	0	0	2	3	2	0	3	6	41	90
FQ312003_intergenic_1236150_1236204	FQ312003_intergenic_1236150_1236204	FQ312003_intergenic_1236150_1236204	4	1	4	5	3	6	0	3	23	1461	1383
FQ312003_intergenic_1237869_1237891	FQ312003_intergenic_1237869_1237891	FQ312003_intergenic_1237869_1237891	0	0	0	2	1	0	0	0	0	4	12
FQ312003_intergenic_1242267_1242460	FQ312003_intergenic_1242267_1242460	FQ312003_intergenic_1242267_1242460	1	0	0	0	4	2	1	5	14	416	315
FQ312003_intergenic_1246254_1246494	FQ312003_intergenic_1246254_1246494	FQ312003_intergenic_1246254_1246494	7	3	0	0	0	0	0	0	0	40	54
FQ312003_intergenic_1250392_1250545	FQ312003_intergenic_1250392_1250545	FQ312003_intergenic_1250392_1250545	0	0	0	0	0	0	0	0	1	5	1
FQ312003_intergenic_1251951_1252028	FQ312003_intergenic_1251951_1252028	FQ312003_intergenic_1251951_1252028	2	0	0	0	0	0	0	0	0	12	12
FQ312003_intergenic_1253379_1253519	FQ312003_intergenic_1253379_1253519	FQ312003_intergenic_1253379_1253519	0	1	0	0	0	0	5	0	2	163	77
FQ312003_intergenic_1254940_1254986	FQ312003_intergenic_1254940_1254986	FQ312003_intergenic_1254940_1254986	0	2	0	0	1	1	2	0	3	4	3
FQ312003_intergenic_1258534_1258770	FQ312003_intergenic_1258534_1258770	FQ312003_intergenic_1258534_1258770	9	2	0	0	2	0	0	0	1	453	398
FQ312003_intergenic_1265721_1265935	FQ312003_intergenic_1265721_1265935	FQ312003_intergenic_1265721_1265935	3	3	1	10	6	2	0	9	11	578	312
FQ312003_intergenic_1267047_1267274	FQ312003_intergenic_1267047_1267274	FQ312003_intergenic_1267047_1267274	0	6	0	2	1	0	0	0	2	74	29
FQ312003_intergenic_126724_126800	FQ312003_intergenic_126724_126800	FQ312003_intergenic_126724_126800	0	3	0	0	0	0	0	0	1	52	46
FQ312003_intergenic_1269359_1269508	FQ312003_intergenic_1269359_1269508	FQ312003_intergenic_1269359_1269508	0	0	0	0	0	0	0	0	1	44	30
FQ312003_intergenic_1276267_1276289	FQ312003_intergenic_1276267_1276289	FQ312003_intergenic_1276267_1276289	0	0	0	0	0	0	0	0	2	57	53
FQ312003_intergenic_1281117_1281187	FQ312003_intergenic_1281117_1281187	FQ312003_intergenic_1281117_1281187	3	3	0	13	1	7	0	8	16	1667	1130
FQ312003_intergenic_1282539_1282885	FQ312003_intergenic_1282539_1282885	FQ312003_intergenic_1282539_1282885	4	3	0	0	2	0	2	5	10	2137	956
FQ312003_intergenic_1284111_1284991	FQ312003_intergenic_1284111_1284991	FQ312003_intergenic_1284111_1284991	10	2	0	0	1	0	5	2	4	93	93
FQ312003_intergenic_128560_129009	FQ312003_intergenic_128560_129009	FQ312003_intergenic_128560_129009	11	2	14	42	22	12	2	190	276	544	555
FQ312003_intergenic_1285881_1286268	FQ312003_intergenic_1285881_1286268	FQ312003_intergenic_1285881_1286268	4	1	0	1	0	0	0	4	0	244	277
FQ312003_intergenic_1286609_1286698	FQ312003_intergenic_1286609_1286698	FQ312003_intergenic_1286609_1286698	3	0	1	2	0	0	0	1	6	155	236
FQ312003_intergenic_1287321_1287634	FQ312003_intergenic_1287321_1287634	FQ312003_intergenic_1287321_1287634	4	1	0	10	3	3	2	3	7	902	773
FQ312003_intergenic_1287948_1287978	FQ312003_intergenic_1287948_1287978	FQ312003_intergenic_1287948_1287978	0	0	0	1	1	1	0	1	5	25	27
FQ312003_intergenic_1288343_1289140	FQ312003_intergenic_1288343_1289140	FQ312003_intergenic_1288343_1289140	24	28	32	135	49	95	8	106	270	1897	643
FQ312003_intergenic_1289712_1290847	FQ312003_intergenic_1289712_1290847	FQ312003_intergenic_1289712_1290847	5	9	1	18	2	24	2	7	19	4743	4155
FQ312003_intergenic_1291293_1291894	FQ312003_intergenic_1291293_1291894	FQ312003_intergenic_1291293_1291894	2	2	4	14	3	15	0	9	32	4695	4411
FQ312003_intergenic_1292268_1292318	FQ312003_intergenic_1292268_1292318	FQ312003_intergenic_1292268_1292318	0	1	0	1	1	0	0	0	0	181	135
FQ312003_intergenic_1292887_1293124	FQ312003_intergenic_1292887_1293124	FQ312003_intergenic_1292887_1293124	5	0	0	0	0	0	0	1	6	275	281
FQ312003_intergenic_1294882_1294929	FQ312003_intergenic_1294882_1294929	FQ312003_intergenic_1294882_1294929	2	3	1	0	0	0	3	0	2	453	926
FQ312003_intergenic_1295345_1295925	FQ312003_intergenic_1295345_1295925	FQ312003_intergenic_1295345_1295925	6	0	2	0	1	2	6	2	13	2376	2114
FQ312003_intergenic_1302027_1302119	FQ312003_intergenic_1302027_1302119	FQ312003_intergenic_1302027_1302119	0	0	0	0	0	0	1	0	0	20	14
FQ312003_intergenic_1302547_1302642	FQ312003_intergenic_1302547_1302642	FQ312003_intergenic_1302547_1302642	1	0	0	4	0	0	1	0	0	14	7
FQ312003_intergenic_1304288_1304331	FQ312003_intergenic_1304288_1304331	FQ312003_intergenic_1304288_1304331	0	1	0	0	0	0	0	0	0	153	91
FQ312003_intergenic_1305943_1306096	FQ312003_intergenic_1305943_1306096	FQ312003_intergenic_1305943_1306096	0	1	0	2	0	0	0	2	4	114	230
FQ312003_intergenic_1307302_1307397	FQ312003_intergenic_1307302_1307397	FQ312003_intergenic_1307302_1307397	4	1	0	7	4	9	0	3	10	9	15
FQ312003_intergenic_1308137_1308208	FQ312003_intergenic_1308137_1308208	FQ312003_intergenic_1308137_1308208	1	0	2	0	0	0	0	0	0	22	50
FQ312003_intergenic_1308856_1308984	FQ312003_intergenic_1308856_1308984	FQ312003_intergenic_1308856_1308984	0	0	0	0	0	0	0	0	0	18	5
FQ312003_intergenic_1309727_1309747	FQ312003_intergenic_1309727_1309747	FQ312003_intergenic_1309727_1309747	1	0	0	0	0	0	1	0	0	7	11
FQ312003_intergenic_1310290_1310621	FQ312003_intergenic_1310290_1310621	FQ312003_intergenic_1310290_1310621	3	2	0	0	2	2	0	0	4	916	749
FQ312003_intergenic_1311687_1311704	FQ312003_intergenic_1311687_1311704	FQ312003_intergenic_1311687_1311704	3	0	0	0	0	3	0	0	1	14	29
FQ312003_intergenic_1314311_1314519	FQ312003_intergenic_1314311_1314519	FQ312003_intergenic_1314311_1314519	3	2	0	0	1	2	0	0	2	54	101
FQ312003_intergenic_1316682_1317221	FQ312003_intergenic_1316682_1317221	FQ312003_intergenic_1316682_1317221	6	14	106	336	122	301	4	245	823	4026	4061
FQ312003_intergenic_1318609_1318630	FQ312003_intergenic_1318609_1318630	FQ312003_intergenic_1318609_1318630	2	1	0	1	1	0	0	1	2	55	68
FQ312003_intergenic_1320666_1320991	FQ312003_intergenic_1320666_1320991	FQ312003_intergenic_1320666_1320991	6	4	0	0	2	4	0	0	7	3326	2125
FQ312003_intergenic_1321839_1322027	FQ312003_intergenic_1321839_1322027	FQ312003_intergenic_1321839_1322027	1	3	0	0	0	0	0	0	0	123	195
FQ312003_intergenic_1326592_1326802	FQ312003_intergenic_1326592_1326802	FQ312003_intergenic_1326592_1326802	1	2	3	15	12	11	0	6	19	1518	2102
