Protein Accession No	Gene	Protein Description	Protein Mr	uninfected mouse 	Group 1	Group 2	Group 3	Group 1/Group2	Group 1/Group 3	Group 2/Group 3
SL1344_0129	murC 	SL1344_0129 UDP-N-acetylmuramate--L-alanine ligase 151146:152621 forward MW:53438	53404	0.00000%	0.00000%	0.00000%	0.00130%	-8.3575520046	-7.4676055501	0.8899464545
SL1344_0130	ddl 	SL1344_0130 D-alanine--D-alanine ligase 152614:153534 forward MW:32635	32615	0.00000%	0.00000%	0.00328%	0.00177%	0	-7.0552824355	-7.0552824355
SL1344_0131	ftsQ 	SL1344_0131 cell division protein FtsQ 153536:154366 forward MW:31136	31117	0.00000%	0.00000%	0.00000%	0.00133%	0	0	0
SL1344_0132	ftsA 	SL1344_0132 cell division protein FtsA 154363:155625 forward MW:45314	45285	0.00000%	0.00000%	0.00000%	0.00000%	-8.3442959079	-6.9886846868	1.3556112211
SL1344_0133	ftsZ 	SL1344_0133 cell division protein FtsZ 155686:156837 forward MW:40324	40299	0.00000%	0.00000%	0.00325%	0.00127%	-6.5899631818	-7.1825598855	-0.5925967037
SL1344_0134	lpxC 	SL1344_0134 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase 156938:157855 forward MW:33985	33963	0.00000%	0.00015%	0.01445%	0.02179%	0	0	0
SL1344_0136	secA 	SL1344_0136 preprotein translocase SecA subunit 158693:161398 forward MW:101827	101762	0.00000%	0.00000%	0.00000%	0.00000%	-8.2184767463	-8.8848246543	-0.666347908
SL1344_0137	mutT 	SL1344_0137 7,8-dihydro-8-oxoguanine-triphosphatase 161550:161945 forward MW:15081	15072	0.00000%	0.00007%	0.02085%	0.03309%	0	0	0
SL1344_0138	yacG 	SL1344_0138 conserved hypothetical protein 162267:162458 reverse MW:7049	7045	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0139	yacF 	SL1344_0139 conserved hypothetical protein 162468:163211 reverse MW:28368	28350	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0140	coaE 	SL1344_0140 Dephospho-CoA kinase 163211:163831 reverse MW:22795	22781	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0141	guaC 	SL1344_0141 GMP reductase 164057:165100 forward MW:37138	37115	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.4262647547	-5.4262647547
SL1344_0145	nadC 	SL1344_0145 nicotinate-nucleotide pyrophosphorylase 168377:169123 reverse MW:27180	27163	0.00000%	0.00000%	0.00000%	0.00043%	0	-5.3923174228	-5.3923174228
SL1344_0146	ampD 	SL1344_0146 AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase) 169358:169921 forward MW:20912	20899	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_0147	ampE 	SL1344_0147 AmpE protein 169918:170772 forward MW:32124	32103	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0151	pdhR 	SL1344_0151 pyruvate dehydrogenase complex repressor 175320:176084 forward MW:29411	29393	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0152	aceE 	SL1344_0152 pyruvate dehydrogenase E1 component 176244:178907 forward MW:99580	99517	0.00000%	0.00000%	0.00000%	0.00000%	-6.3601755642	-7.9169043842	-1.55672882
SL1344_0153	aceF 	SL1344_0153 dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase 178922:180811 forward MW:66055	66013	0.00000%	0.00067%	0.05504%	0.16192%	-12.4542992936	-14.1968326197	-1.7425333261
SL1344_0154	lpdA 	SL1344_0154 dihydrolipoamide dehydrogenase 181011:182435 forward MW:50640	50608	0.00000%	0.00000%	0.05612%	0.18779%	-1.641717279	-5.0118484374	-3.3701311583
SL1344_0159	acnB 	SL1344_0159 aconitate hydratase 2 (citrate hydro-lyase 2) 185853:188450 forward MW:93530	93470	0.00000%	0.00216%	0.00674%	0.06969%	-7.9433520642	-8.0064262692	-0.063074205
SL1344_0160	0	SL1344_0160 HNH endonuclease 188511:189353 reverse MW:32672	32652	0.00000%	0.00007%	0.01723%	0.01800%	0	0	0
SL1344_0161	yacL 	SL1344_0161 conserved hypothetical protein 189599:189961 forward MW:13888	13879	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0163	0	SL1344_0163 conserved hypothetical protein 191146:192417 forward MW:44986	44957	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0164	pdxA 	SL1344_0164 4-hydroxythreonine-4-phosphate dehydrogenase 192407:193390 forward MW:35064	35042	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0165	0	SL1344_0165 hypothetical transcriptional regulator 193400:194167 forward MW:27862	27845	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4093909361	-6.4093909361
SL1344_0166	speD 	SL1344_0166 S-adenosylmethionine decarboxylase, proenzyme 194197:194991 reverse MW:30414	30395	0.00000%	0.00000%	0.00000%	0.00085%	0	-7.0874628413	-7.0874628413
SL1344_0167	speE 	SL1344_0167 Spermidine synthase 195012:195872 reverse MW:32095	32074	0.00000%	0.00000%	0.00000%	0.00136%	0	0	0
SL1344_0169	cueO 	SL1344_0169 possible multicopper oxidase precursor 196528:198138 forward MW:58626	58587	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2094533656	-5.2094533656
SL1344_0170	gcd 	SL1344_0170 glucose dehydrogenase 198216:200606 reverse MW:86495	86440	0.00000%	0.00000%	0.00000%	0.00037%	0	-6.2667865407	-6.2667865407
SL1344_0171	hpt 	SL1344_0171 hypoxanthine phosphoribosyltransferase 200812:201348 forward MW:20068	20055	0.00000%	0.00000%	0.00000%	0.00077%	0	0	0
SL1344_0172	yadF 	SL1344_0172 carbonic anhydrase 201406:202068 reverse MW:24821	24806	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0173	yadG 	SL1344_0173 hypothetical ABC transporter ATP-binding protein 202177:203103 forward MW:34684	34662	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0181	panD 	SL1344_0181 aspartate 1-decarboxylase 211027:211407 reverse MW:13886	13878	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.5235619561	-6.5235619561
SL1344_0182	panC 	SL1344_0182 Pantoate--beta-alanine ligase 211502:212356 reverse MW:31858	31838	0.00000%	0.00000%	0.00000%	0.00092%	0	-7.0660891905	-7.0660891905
SL1344_0183	panB 	SL1344_0183 3-methyl-2-oxobutanoate hydroxymethyltransferase 212482:213273 reverse MW:28105	28087	0.00000%	0.00000%	0.00000%	0.00134%	0	-5.2854022189	-5.2854022189
SL1344_0184	folK 	SL1344_0184 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase 213394:213873 reverse MW:17742	17731	0.00000%	0.00000%	0.00000%	0.00039%	0	0	0
SL1344_0185	pcnB 	SL1344_0185 poly(A) polymerase 213870:215288 reverse MW:54677	54642	0.00000%	0.00000%	0.00000%	0.00000%	3	-4.8008998999	-7.8008998999
SL1344_0186	yadB 	SL1344_0186 glutamyl-tRNA synthetase-related protein 215429:216370 reverse MW:35132	35110	0.00000%	0.00008%	0.00000%	0.00223%	0	0	0
SL1344_0187	dksA 	SL1344_0187 dosage-dependent dnaK suppressor protein 216394:216849 reverse MW:17515	17505	0.00000%	0.00000%	0.00000%	0.00000%	-5.3353903547	3	8.3353903547
SL1344_0188	sfsA 	SL1344_0188 Sugar fermentation stimulation protein homolog. 217026:217730 reverse MW:26160	26143	0.00000%	0.00008%	0.00323%	0.00000%	0	0	0
SL1344_0189	ligT 	SL1344_0189 2~-5~ RNA ligase 217747:218277 reverse MW:19650	19638	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0190	hrpB 	SL1344_0190 ATP-dependent helicase HrpB 218305:220779 forward MW:90845	90787	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0191	mrcB 	SL1344_0191 penicillin-binding protein 1b; peptidoglycan synthetase 220920:223442 forward MW:93868	93808	0.00000%	0.00000%	0.00000%	0.00000%	-8.1699250014	-8.2807707701	-0.1108457687
SL1344_0192	fhuA 	SL1344_0192 ferrichrome-iron receptor 223735:225924 forward MW:80627	80576	0.00000%	0.00000%	0.00288%	0.00311%	0	-11.2556187498	-11.2556187498
SL1344_0203	hemL 	SL1344_0203 Glutamate-1-semialdehyde 2,1-aminomutase 237207:238487 reverse MW:45325	45295	0.00000%	0.00000%	0.00000%	0.02445%	-5.3442959079	-3.9886846868	1.3556112211
SL1344_0204	clcA 	SL1344_0204 hypothetical membrane protein 238657:240078 forward MW:50423	50390	0.00000%	0.00008%	0.00325%	0.00127%	0	0	0
SL1344_0205	yadR 	SL1344_0205 conserved hypothetical protein 240160:240504 forward MW:12099	12092	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_0207	btuF 	SL1344_0207 Vitamin B12 transport protein btuF precursor. 241265:242065 reverse MW:29284	29266	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_0208	mtn 	SL1344_0208 MTA/SAH nucleosidase 242058:242756 reverse MW:24446	24431	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0209	dgt 	SL1344_0209 Deoxyguanosinetriphosphate triphosphohydrolase 243051:244358 forward MW:51156	51124	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0210	htrA 	SL1344_0210 protease DO precursor; heat shock protein HtrA 244488:245915 forward MW:49315	49284	0.00000%	0.00000%	0.00000%	0.00000%	-6.56414949	-6.480453634	0.083695856
SL1344_0211	cdaR 	SL1344_0211 conserved hypothetical protein 246068:247225 forward MW:43587	43559	0.00000%	0.00024%	0.02271%	0.02143%	0	0	0
SL1344_0212	yaeH 	SL1344_0212 conserved hypothetical protein 247314:247700 reverse MW:15094	15085	0.00000%	0.00000%	0.00000%	0.00000%	3	-7.4928546202	-10.4928546202
SL1344_0214	dapD 	SL1344_0214 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase 249285:250109 reverse MW:29852	29833	0.00000%	0.00008%	0.00000%	0.01441%	-7.0620461377	-6.5924570373	0.4695891005
SL1344_0215	glnD 	SL1344_0215 [Protein-PII] uridylyltransferase 250139:252811 reverse MW:102266	102200	0.00000%	0.00008%	0.01069%	0.00772%	0	0	0
SL1344_0216	map 	SL1344_0216 methionine aminopeptidase 253048:253842 reverse MW:29292	29273	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0660891905	-7.0660891905
SL1344_0217	rpsB 	SL1344_0217 30S ribosomal protein S2 254293:255018 forward MW:26758	26742	0.00000%	0.00000%	0.00000%	0.00134%	-5.1714307891	-5.4901647462	-0.3187339571
SL1344_0218	tsf 	SL1344_0218 Elongation factor Ts 255276:256127 forward MW:30358	30339	0.00000%	0.00133%	0.04793%	0.05978%	-6.9122838544	-7.5397687381	-0.6274848837
SL1344_0219	pyrH 	SL1344_0219 Uridylate kinase 256272:256997 forward MW:25955	25939	0.00000%	0.00089%	0.10720%	0.16561%	-6.6251869783	-2.5145731728	4.1106138055
SL1344_0220	frr 	SL1344_0220 Ribosome recycling factor 257144:257701 forward MW:20555	20543	0.00000%	0.00007%	0.00691%	0.00040%	-4.7269119295	-2.9385994553	1.7883124742
SL1344_0221	dxr 	SL1344_0221 1-deoxy-D-xylulose 5-phosphate reductoisomerase 257842:259038 forward MW:43353	43325	0.00000%	0.00027%	0.00715%	0.00207%	0	0	0
SL1344_0222	uppS 	SL1344_0222 undecaprenyl pyrophosphate synthetase 259351:260109 forward MW:28328	28310	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0224	yaeL 	SL1344_0224 hypothetical membrane protein 260991:262343 forward MW:49185	49153	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0225	yaeT 	SL1344_0225 outer membrane protein precursor 262375:264789 forward MW:89527	89471	0.00000%	0.00000%	0.00000%	0.00000%	-10.4252159033	-12.0354864513	-1.610270548
SL1344_0226	hlpA 	SL1344_0226 outer membrane protein OmpH precursor 264912:265397 forward MW:17905	17894	0.00000%	0.00000%	0.01375%	0.04198%	-6.3301572851	-0.858823937	5.471333348
SL1344_0227	lpxD 	SL1344_0227 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase 265401:266426 forward MW:35930	35907	0.00000%	0.00118%	0.09494%	0.00214%	0	-5.3575520046	-5.3575520046
SL1344_0228	fabZ 	SL1344_0228 (3R)-hydroxymyristol acyl carrier protein dehydrase 266532:266987 forward MW:16999	16988	0.00000%	0.00000%	0.00000%	0.00041%	0	-7.1996723448	-7.1996723448
SL1344_0229	lpxA 	SL1344_0229 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucos amine O-acyltransferase 266991:267779 forward MW:28089	28071	0.00000%	0.00000%	0.00000%	0.00147%	-8.3037807482	-7.9886846868	0.3150960614
SL1344_0230	lpxB 	SL1344_0230 Lipid-A-disaccharide synthase 267779:268927 forward MW:42452	42424	0.00000%	0.00000%	0.00316%	0.00254%	0	0	0
SL1344_0231	rnhB 	SL1344_0231 ribonuclease HII 268924:269520 forward MW:21507	21493	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0232	dnaE 	SL1344_0232 DNA polymerase III, alpha chain 269544:273026 forward MW:130200	130116	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0233	accA 	SL1344_0233 acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha 273039:273998 forward MW:35344	35321	0.00000%	0.00000%	0.00000%	0.00000%	-8.3487281542	-10.2045711442	-1.85584299
SL1344_0235	ldcC 	SL1344_0235 lysine decarboxylase 276017:278158 forward MW:80764	80711	0.00000%	0.00000%	0.00326%	0.01180%	0	0	0
SL1344_0236	yaeR 	SL1344_0236 conserved hypothetical protein 278214:278603 forward MW:14809	14799	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0238	rof 	SL1344_0238 ROF protein 280042:280296 reverse MW:9394	9389	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0239	yaeP 	SL1344_0239 Hypothetical UPF0253 protein <ORFName>. 280289:280507 reverse MW:7720	7716	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0240	yaeQ 	SL1344_0240 conserved hypothetical protein 280687:281232 forward MW:20835	20823	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0242	cutF 	SL1344_0242 copper homeostasis protein CutF precursor (lipoprotein nlpE) 281683:282384 forward MW:25225	25210	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0243	proS 	SL1344_0243 prolyl-tRNA synthetase 282458:284176 reverse MW:63540	63500	0.00000%	0.00000%	0.00000%	0.00000%	-7.4157417683	-7.4686240429	-0.0528822746
SL1344_0244	yaeB 	SL1344_0244 conserved hypothetical protein 284287:284994 reverse MW:26294	26278	0.00000%	0.00008%	0.01366%	0.01417%	0	0	0
SL1344_0245	rcsF 	SL1344_0245 RcsF protein 284991:285395 reverse MW:14189	14180	0.00000%	0.00000%	0.00000%	0.00000%	3	-4.2667865407	-7.2667865407
SL1344_0246	metQ 	SL1344_0246 hypothetical lipoprotein precursor 285514:286329 reverse MW:29435	29418	0.00000%	0.00008%	0.00000%	0.00154%	-4.7928553524	-6.3190398156	-1.5261844632
SL1344_0247	yaeE 	SL1344_0247 hypothetical ABC transporter permease protein 286368:287021 reverse MW:23249	23234	0.00000%	0.00025%	0.00693%	0.01996%	0	0	0
SL1344_0248	abc 	SL1344_0248 hypothetical ABC transporter ATP-binding protein 287014:288045 reverse MW:37661	37638	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.022367813	-7.022367813
SL1344_0249	yaeD 	SL1344_0249 conserved hypothetical protein 288235:288801 forward MW:20920	20906	0.00000%	0.00000%	0.00000%	0.00130%	0	0	0
SL1344_0250	dkgB 	SL1344_0250 hypothetical oxidoreductase 295060:295863 forward MW:29180	29162	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0251	yafC 	SL1344_0251 hypothetical transcriptional regulator 295884:296798 reverse MW:33899	33878	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0253	yafD 	SL1344_0253 hypothetical protein 298231:299010 forward MW:29065	29047	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0254	yafE 	SL1344_0254 hypothetical methyltransferase 299088:299858 forward MW:28388	28370	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0256	gloB 	SL1344_0256 probable hydroxyacylglutathione hydrolase 301353:302108 reverse MW:28633	28615	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0258	rnhA 	SL1344_0258 ribonuclease H 302862:303329 reverse MW:17509	17499	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0259	dnaQ 	SL1344_0259 DNA polymerase III epsilon subunit 303393:304124 forward MW:27225	27208	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0288	sciX 	SL1344_0288 conserved hypothetical protein (SPI-6 associated) 337307:337753 forward MW:17472	17462	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0300	sinR 	SL1344_0300 LysR-family transcriptional regulator (SPI-6 associated) 348088:349035 forward MW:36324	36301	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0302	pagN 	SL1344_0302 possible outer membrane adhesin 349371:350090 reverse MW:25708	25692	0.00000%	0.00000%	0.00000%	0.00000%	-2.5723624639	1.5600878321	4.132450296
