Gene	Alias	BRecon Gene function	JCVI Common Name	Primary Common Name	Primary Enzyme Commission #	JCVI 5' End	JCVI 3' End	JCVI  Sequence Length	JCVI  Protein Length	UniProt Accession	GenBank ID	GO Term
STM0070	caiD		enoyl-CoA hydratase	carnitine racemase	5.-.-.-	82510	81725	786	261	Q8ZRX5	AAL19034.1	No Data
STM0071	no		long-chain-fatty-acid--CoA ligase, putative	crotonobetaine/carnitine-CoA ligase	6.3.2.	84063	82564	1500	499	Q8ZRX4	AAL19035.1	No Data
STM0072	caiB		L-carnitine dehydratase, putative	l-carnitine dehydratase	4.2.1.89	85397	84180	1218	405	Q8ZRX3	AAL19036.1	No Data
STM0074	caiT		osmoprotectant transporter, BCCT family, putative	putative BCCT family, betaine/carnitine/choline transport protein	No Data	88203	86686	1518	505	Q8ZRX1	AAL19038.1	GO:0015418
STM0086	kefC		glutathione-regulated potassium-efflux system protein KefB	CPA2 family, K+ efflux antiporter, glutathione-regulated	No Data	98778	100640	1863	620	Q8ZRW2	AAL19050.1	GO:0006813
STM0087	folA		dihydrofolate reductase	dihydrofolate reductase type I trimethoprim resistance	1.5.1.3	100866	101318	453	150	Q8ZRW1	AAL19051.1	GO:0004146
STM0088	apaH		bis(5-nucleosyl)-tetraphosphatase (symmetrical)	diadenosine tetraphosphatase	3.6.1.41	102272	101424	849	282	P0A1B1	AAL19052.1	GO:0006139
STM0091	pdxA		pyridoxal phosphate biosynthetic protein PdxA	NAD-dependent dehydrogenase/carboxylase pyridoxine phosphate biosynthetic protein PdxJ-PdxA	No Data	104470	103481	990	329	P58717	AAL19055.1	GO:0003824
STM0101	araD		L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	117936	117241	696	231	P06190	AAL19065.1	GO:0008742
STM0102	araA		L-arabinose isomerase	L-arabinose isomerase	5.3.1.4	119579	118077	1503	500	P06189	AAL19066.1	GO:0008733
STM0103	araB		L-ribulokinase	L-ribulokinase	2.7.1.16	121119	119590	1530	509	P06188	AAL19067.1	GO:0008741
STM0106	sfuC		spermidine/putrescine ABC transporter, ATP-binding protein	putative ABC-transport protein	No Data	124117	123410	708	235	Q8ZRV2	AAL19070.1	GO:0015234
STM0107	sfuB		thiamine ABC transporter, permease protein	putative binding-protein-dependent transport system inner membrane component	No Data	125711	124101	1611	536	Q8ZRV1	AAL19071.1	GO:0015223
STM0108	sfuA		thiamine ABC transporter, periplasmic binding protein	thiamine-binding periplasmic protein	No Data	126670	125687	984	327	Q7CR85	AAL19072.1	GO:0015234
STM0110	leuD		3-isopropylmalate dehydratase, small subunit	3-isopropylmalate isomerase (dehydratase), subunit with LeuC	4.2.1.33	129662	129057	606	201	P04787	AAL19074.1	GO:0003861
STM0111	leuC		3-isopropylmalate dehydratase, large subunit	3-isopropylmalate isomerase (dehydratase), subunit with LeuD	4.2.1.33	131073	129673	1401	466	P15717	AAL19075.1	GO:0003861
STM0112	leuB		3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase	1.1.1.85	132167	131076	1092	363	P37412	AAL19076.1	GO:0003862
STM0113	leuA		2-isopropylmalate synthase	2-isopropylmalate synthase	4.1.3.12	133738	132167	1572	523	P15875	AAL19077.1	GO:0003852
STM0122	ftsI		penicillin-binding protein 3	division specific transpeptidase, penicillin-binding protein 3 re	No Data	141726	143492	1767	588	Q7CR83	AAL19086.1	GO:0003824
STM0123	murE		UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase (2nd module)	UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase	6.3.2.13	143479	144966	1488	495	Q8ZRU7	AAL19087.1	No Data
STM0124	murF		UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase	D-alanine:D-alanine-adding enzyme	6.3.2.15	144963	146321	1359	452	Q8ZRU6	AAL19088.1	GO:0009252
STM0125	mraY		phospho-N-acetylmuramoyl-pentapeptide-transferase	phospho-N-acetylmuramoyl-pentapeptide transferase	2.7.8.13	146315	147397	1083	360	Q8ZRU5	AAL19089.1	GO:0008963
STM0126	murD		UDP-N-acetylmuramoylalanine--D-glutamate ligase	UDP-N-acetylmuramoylalanine-D-glutamate ligase	6.3.2.9	147400	148716	1317	438	Q8ZRU4	AAL19090.1	GO:0008764
STM0128	murG		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.	149957	151024	1068	355	Q8ZRU3	AAL19092.1	GO:0009252
STM0129	murC		UDP-N-acetylmuramate--alanine ligase	L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase	6.3.2.8	151236	152618	1383	460	Q8ZRU2	AAL19093.1	GO:0008763
STM0130	no		D-alanine--D-alanine ligase	D-alanine-D-alanine ligase B, affects cell division	6.3.2.4	152611	153531	921	306	Q8ZRU1	AAL19094.1	GO:0008716
STM0134	lpxC		UDP-3-0-acyl N-acetylglucosamine deacetylase	UDP-3-O-acyl N-acetylglucosamine deacetylase	3.5.1.-	156935	157852	918	305	Q8ZRT9	AAL19098.1	GO:0008759
STM0137	mutT		mutator MutT protein	7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP	3.6.1.-	161546	161941	396	131	Q8ZRT6	AAL19101.1	GO:0006281
STM0140	coaE		dephospho-CoA kinase	putative nucleotide kinase	No Data	163827	163207	621	206	P63828	AAL19104.1	GO:0004140
STM0141	guaC		guanosine monophosphate reductase	GMP reductase	1.6.6.8	164053	165096	1044	347	Q8ZRT5	AAL19105.1	GO:0003920
STM0145	nadC		nicotinate-nucleotide pyrophosphorylase	quinolinate phosphoribosyltransferase	2.4.2.19	169266	168373	894	297	P30012	AAL19109.1	GO:0004514
STM0146	ampD		AmpD	N-acetyl-anhydromuramyl-L-alanine amidase	No Data	169354	169917	564	187	P30013	AAL19110.1	GO:0000270
STM0150	aroP		amino acid permease	APC family, aromatic amino acid transporter	No Data	174753	173380	1374	457	P0A187	AAL19114.1	No Data
STM0152	aceE		pyruvate dehydrogenase, E1 component	pyruvate dehydrogenase, decarboxylase component	1.2.4.1	176240	178903	2664	887	Q8ZRT2	AAL19116.1	GO:0004738
STM0153	aceF		pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	pyruvate dehydrogenase, dihydrolipoyltransacetylase component	2.3.1.12	178918	180807	1890	629	Q8ZRT1	AAL19117.1	GO:0004742
STM0154	lpdA		dihydrolipoamide dehydrogenase	lipoamide dehydrogenase (NADH) component of 2-oxodehydrogenase and	1.8.1.4	181007	182431	1425	474	Q8ZRT0	AAL19118.1	GO:0004148
STM0158	acnB		aconitate hydratase 2	aconitate hydratase 2	4.2.1.3	185935	188454	2520	839	Q8ZRS8	AAL19122.1	GO:0003994
STM0161	kdgT	2-keto-3-deoxygluconate permease	2-keto-3-deoxygluconate permease 1	2-keto-3-deoxygluconate permease	No Data	190200	191153	954	317	P65207	AAL19125.1	No Data
STM0163	pdxA	pyridoxine phosphate biosynthetic protein	pyridoxal phosphate biosynthetic protein PdxA	pyridoxine phosphate biosynthetic protein	No Data	192438	193394	957	318	P58718	AAL19127.1	GO:0003824
STM0165	speD		S-adenosylmethionine decarboxylase, proenzyme	S-adenosylmethionine decarboxylase, proenzyme	4.1.1.50	194995	194201	795	264	Q8ZRS4	AAL19129.1	No Data
STM0166	speE		spermidine synthase	spermidine synthase (putrescine aminopropyltransferase)	2.5.1.16	195876	195016	861	286	Q8ZRS3	AAL19130.1	GO:0004766
STM0168	cueO		copper-binding protein, putative	putative multicopper oxidase	No Data	196532	198142	1611	536	Q8ZRS2	AAL19132.1	No Data
STM0169	gcd		glucose dehydrogenase	glucose dehydrogenase	1.1.99.17	200628	198220	2409	802	Q8ZRS1	AAL19133.1	No Data
STM0170	hpt		hypoxanthine phosphoribosyltransferase	hypoxanthine phosphoribosyltransferase	2.4.2.8	200780	201352	573	190	O33799	AAL19134.1	GO:0004422
STM0171	yadF		carbonic anhydrase family protein	putative carbonic anhydrase	4.2.1.1	202123	201410	714	237	Q8ZRS0	AAL19135.1	GO:0004089
STM0180	panD		aspartate 1-decarboxylase	aspartate 1-decarboxylase	4.1.1.11	211411	211031	381	126	P65662	AAL19144.1	GO:0004068
STM0181	panC		pantoate--beta-alanine ligase	pantothenate synthetase	6.3.2.1	212360	211506	855	284	Q8ZRR1	AAL19145.1	GO:0004592
STM0182	panB		3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase	2.1.2.11	213094	212486	609	202	Q8ZRR0	AAL19146.1	GO:0003864
STM0183	folK		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase, PPPK	2.7.6.3	213877	213398	480	159	Q8ZRQ9	AAL19147.1	GO:0003848
STM0190	no		penicillin-binding protein 1A, putative	transpeptidase of penicillin-binding protein 1b (peptidoglycan synthetase)	No Data	220923	223445	2523	840	Q8ZRQ3	AAL19154.1	No Data
STM0191	no		iron(III) compound receptor, putative	outer membrane protein receptor / transporter for	No Data	223738	225927	2190	729	Q8ZRQ2	AAL19155.1	GO:0004872
STM0192	fhuC		iron(III) ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), hydroxymate-dependent iron transport	No Data	225946	226773	828	275	Q8ZRQ1	AAL19156.1	GO:0005381
STM0193	no		iron(III) ABC transporter, periplasmic iron-compound-binding protein, putative	ABC superfamily (bind _prot), hydroxamate-dependent iron uptake	No Data	226773	227663	891	296	Q8ZRQ0	AAL19157.1	GO:0005381
STM0194	fhuB		ABC superfamily (membrane), hydroxamate-dependent iron uptake (2nd module)	ABC superfamily (membrane), hydroxamate-dependent iron uptake	No Data	227678	229717	2040	679	O87656	AAL19158.1	No Data
STM0202	hemL		glutamate-1-semialdehyde-2,1-aminomutase	glutamate-1-semialdehyde aminotransferase (aminomutase)	5.4.3.8	238491	237211	1281	426	P21267	AAL19166.1	GO:0006779
STM0203	no		voltage-gated chloride channel family protein, putative	putative ClC family, chlorine transport protein	No Data	238661	240082	1422	473	Q8ZRP8	AAL19167.1	No Data
STM0206	btuF		vitamin b12 transport protein btuf precursor. {salmonella	putative cobalamin periplasmic binding protein	No Data	242069	241269	801	266	Q8ZRP7	AAL19170.1	No Data
STM0207	mtn		MTA/SAH nucleosidase	5-methylthioadenosine/S-adenosylhomocysteine nucleosidase	3.2.2.9	242736	242062	675	224	P60217	AAL19171.1	GO:0008152
STM0208	dgt		deoxyguanosinetriphosphate triphosphohydrolase	deoxyguanosine triphosphate triphosphohydrolase	3.1.5.1	243178	244362	1185	394	P40733	AAL19172.1	GO:0008832
STM0213	dapD		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	2.3.1.117	250113	249289	825	274	Q8ZRP4	AAL19177.1	GO:0008666
STM0218	pyrH		uridylate kinase	uridylate kinase	2.7.4.-	256276	257001	726	241	P65933	AAL19182.1	GO:0015949
STM0220	dxr		1-deoxy-D-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.-	257759	259042	1284	427	Q8ZRP3	AAL19184.1	GO:0008299
STM0221	uppS		undecaprenyl diphosphate synthase	undecaprenyl pyrophosphate synthetase (di-trans,poly-cis-decaprenylcistransferase)	2.5.1.31	259355	260113	759	252	Q8ZRP2	AAL19185.1	GO:0005386
STM0222	cdsA		CDP-diglyceride synthase (2nd module)	CDP-diglyceride synthase	2.7.7.41	260156	260983	828	275	Q7CR63	AAL19186.1	No Data
STM0226	lpxD		UDP-3-O-(3-hydroxymyristoyl)-glucosamine n-acyltransferase (2nd module)	UDP-3-O-(3-hydroxymyristoyl)-glucosamine n-acyltransferase	2.3.1.-	265441	266430	990	329	P0A1X4	AAL19190.1	No Data
STM0227	fabZ		(3R)-hydroxymyristol acyl carrier protein dehydratase	(3R)-hydroxymyristol acyl carrier protein dehydratase	4.2.1.-	266446	266991	546	181	P0A1H9	AAL19191.1	No Data
STM0228	lpxA		UDP-N-acetylglucosamine acetyltransferase (1st module)	UDP-N-acetylglucosamine acetyltransferase	2.3.1.129	266995	267783	789	262	P32200	AAL19192.1	No Data
STM0229	lpxB		lipid A disaccharide synthase (lpxB)	tetraacyldisaccharide-1-P	2.4.1.182	267783	268931	1149	382	Q8ZRN9	AAL19193.1	GO:0008915
STM0232	accA		acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	acetylCoA carboxylase, carboxytransferase component, alpha subunit	6.4.1.2	273043	274002	960	319	P0A1C3	AAL19196.1	GO:0003989
STM0234	cadA		lysine decarboxylase, inducible	lysine decarboxylase 2, constitutive	4.1.1.18	276022	278163	2142	713	Q8ZRN7	AAL19198.1	GO:0006520
STM0235	no		glyoxylase I family protein	putative lactoylglutathione lyase	No Data	278219	278608	390	129	Q8ZRN6	AAL19199.1	No Data
STM0242	proS		prolyl-tRNA synthetase	proline tRNA synthetase	6.1.1.15	284110	282467	1644	547	Q7CR62	AAL19205.1	GO:0004827
STM0245	yaeC		lipoprotein YaeC	putative outer membrane lipoprotein	No Data	286338	285523	816	271	Q8ZRN1	AAL19208.1	No Data
STM0246	no		ABC transporter, permease protein	putative ABC superfamily (membrane) transport protein	No Data	287030	286377	654	217	Q8ZRN0	AAL19209.1	GO:0004009
STM0247	abc		ABC transporter, ATP-binding protein	putative ABC superfamily (atp_bind) transport system	No Data	288123	287023	1101	366	Q8ZRM9	AAL19210.1	GO:0004009
STM0248	gmhB		histidinol phosphatase-related protein	putative dehydratase	No Data	288244	288810	567	188	Q8ZRM8	AAL19211.1	No Data
STM0255	no		oxidoreductase, aldo/keto reductase family	2,5-diketo-D-gluconate reductase B	1.1.1.-	295069	295872	804	267	Q8ZRM7	AAL19212.1	No Data
STM0261	gloB		hydroxyacylglutathione hydrolase	hydroxyacylglutathione hydrolase	3.1.2.6	302117	301362	756	251	Q8ZRM2	AAL19218.1	GO:0004416
STM0309	no		oxidoreductase, acyl-CoA dehydrogenase family	putative acyl-CoA dehydrogenase	1.3.99.-	355041	352597	2445	814	Q8ZRJ7	AAL19266.1	GO:0008152
STM0310	gmhA		phosphoheptose isomerase	phosphoheptose isomerase	5.-.-.-	355281	355859	579	192	P63223	AAL19267.1	GO:0008968
STM0316	pepD		aminoacyl-histidine dipeptidase (peptidase D)	aminoacyl-histidine dipeptidase (peptidase D)	3.4.13.3	362430	360973	1458	485	Q8ZRJ5	AAL19272.1	No Data
STM0317	gpt		xanthine-guanine phosphoribosyltransferase	guanine-hypoxanthine phosphoribosyltransferase	2.4.2.22	362679	363137	459	152	P0A277	AAL19273.1	GO:0000310
STM0320	phoE		outer membrane pore protein e precursor. {salmonella	outer membrane pore protein e (e,ic,nmpab)	No Data	366032	364980	1053	350	P30705	AAL19276.1	No Data
STM0321	proB		glutamate 5-kinase	gamma-glutamate kinase	2.7.2.11	366315	367418	1104	367	P65792	AAL19277.1	GO:0004349
STM0322	proA		gamma-glutamyl phosphate reductase	gamma-glutamylphosphate reductase	1.2.1.41	367430	368680	1251	416	P40861	AAL19278.1	GO:0004350
STM0329	leuC	3-isopropylmalate isomerase (dehydratase), subunit with LeuD 	3-isopropylmalate dehydratase, large subunit	putative 3-isopropylmalate isomerase (dehydratase), subunit with LeuD	No Data	372773	374194	1422	473	Q8ZRJ0	AAL19283.1	GO:0003861
STM0330	leuD	3-isopropylmalate isomerase (dehydratase), subunit with LeuC	3-isopropylmalate dehydratase, small subunit	putative 3-isopropylmalate isomerase (dehydratase), subunit with LeuC	No Data	374196	374822	627	208	Q8ZRI9	AAL19284.1	GO:0003861
STM0353	yvgX		cation-transporting ATPase, E1-E2 family	putative cation transport ATPase	3.6.1.-	398560	400848	2289	762	Q8ZRG7	AAL19307.1	No Data
STM0364	foxA	ferrioxamine receptor	ferrioxamine B receptor	ferrioxamine receptor	No Data	412681	414771	2091	696	Q56145	AAL19318.1	No Data
STM0368	prpB		probable methylisocitrate lyase	putative carboxyphosphonoenolpyruvate mutase	2.7.8.23	417977	418864	888	295	Q56062	AAL19322.1	No Data
STM0369	prpC		Citrate synthase	putative citrate synthase	4.1.3.31	418987	420156	1170	389	Q56063	AAL19323.1	GO:0004108
STM0370	prpD		PrpD	putative protein in propionate catabolism	No Data	420196	421647	1452	483	P74840	AAL19324.1	No Data
STM0371	no		prpe protein	putative acetyl-CoA synthetase, propionate catabolism operon	No Data	421688	423574	1887	628	P55912	AAL19325.1	No Data
STM0372	hemB		porphobilinogen synthase	5-aminolevulinate dehydratase ( porphobilinogen synthase)	4.2.1.24	424652	423678	975	324	Q7CR48	AAL19326.1	GO:0004655
STM0380	no		D-alanine--D-alanine ligase	D-alanine-D-alanine ligase A	6.3.2.4	434637	433543	1095	364	P0A1F0	AAL19334.1	GO:0008716
STM0386	proC		pyrroline-5-carboxylate reductase	pyrroline-5-carboxylate reductase	1.5.1.2	440065	439256	810	269	Q8ZRF0	AAL19340.1	GO:0004735
STM0388	aroK		shikimate kinase	shikimate kinase II	2.7.1.71	440845	441390	546	181	P63603	AAL19342.1	No Data
STM0393	yajF		putative sugar kinase/putative transcriptional regulator (NagC/XylR familiy)	putative sugar kinase/putative transcriptional regulator (NagC/XylR familiy)	No Data	443966	444874	909	302	Q8ZRE5	AAL19347.1	No Data
STM0399	brnQ		branched-chain amino acid transport system II carrier protein	LIVCS family, branched chain amino acid transporter	No Data	453258	454577	1320	439	P0A1W8	AAL19353.1	GO:0015658
STM0401	malZ		glycosyl hydrolase, family 13	maltodextrin glucosidase	3.2.1.20	456184	458001	1818	605	Q8ZRE0	AAL19355.1	No Data
STM0402	tsaA	putative thiol - alkyl hydroperoxide reductase	antioxidant, AhpC/Tsa family	putative thiol - alkyl hydroperoxide reductase	3.2.1.20	458675	458073	603	200	Q7CR42	AAL19356.1	GO:0006800
STM0403	no		putative cytoplasmic protein	putative cytoplasmic protein	No Data	459484	458885	600	199	Q7CR41	AAL19357.1	No Data
STM0413	no		outer membrane protein OmpK, putative	nucleoside channel receptor of phage T6 and	No Data	468505	467537	969	322	P0A261	AAL19367.1	GO:0005337
STM0416	ribD		riboflavin biosynthesis protein RibD	bifunctional pyrimidine deaminase/reductase in pathway of riboflavin	3.5.4.26	469862	470947	1086	361	Q8ZRD4	AAL19370.1	GO:0008703
STM0417	ribH		6,7-dimethyl-8-ribityllumazine synthase	riboflavin synthase, beta chain	2.5.1.9	470985	471506	522	173	P66038	AAL19371.1	GO:0000906
STM0419	thiL		thiamine-monophosphate kinase	thiamin-monophosphate kinase	2.7.4.16	472025	473002	978	325	P55881	AAL19373.1	GO:0009030
STM0420	pgpA		phosphatidylglycerophosphatase A	phosphatidylglycerophosphatase A	3.1.3.27	472989	473495	507	168	Q7CR35	AAL19374.1	GO:0008962
STM0422	dxs		deoxyxylulose-5-phosphate synthase	1-deoxyxylulose-5-phosphate synthase flavoprotein	2.2.-.-	476492	474630	1863	620	Q8ZRD1	AAL19376.1	GO:0008299
STM0423	ispA		geranyltranstransferase	geranyltranstransferase (farnesyldiphosphate synthase)	2.5.1.10	477415	476516	900	299	Q8ZRD0	AAL19377.1	GO:0004337
STM0425	thiS	This-Coamp-protein	thiamine biosynthesis protein thii. {salmonella	sulfur transfer protein (from cys to ThiS	No Data	477868	479316	1449	482	P55913	AAL19379.1	No Data
STM0426	phnV	2-aminoethylphosphonate transporter (membrane component)	2-aminoethylphosphonate transporter, memrane component	2-aminoethylphosphonate transporter, memrane component	No Data	480157	479360	798	265	P96065	AAL19380.1	No Data
STM0427	phnU	2-aminoethylphosphonate transporter (membrane component)	2-aminoethylphosphonate transporter, memrane component	2-aminoethylphosphonate transporter, memrane component	No Data	481020	480160	861	286	P96064	AAL19381.1	No Data
STM0428	phnT	2-aminoethylphosphonate transporter,ATPase component	2-aminoethylphosphonate transporter,ATPase component	2-aminoethylphosphonate transporter,ATPase component	No Data	482132	481023	1110	369	P96063	AAL19382.1	No Data
STM0429	phnS	2-aminoethylphosphonate transporter (periplasmic binding component)	2-aminoethylphosphonate transporter, periplasmic-binding component	2-aminoethylphosphonate transporter, periplasmic-binding component	No Data	483151	482138	1014	337	P96062	AAL19383.1	No Data
STM0431	phnW	2-aminoethylphosphonate:pyruvate transaminase	2-aminoethylphosphonate transport	2-aminoethylphosphonate transport	2.6.1.-	484169	485311	1143	380	P96060	AAL19385.1	No Data
STM0432	phnX	phosphonoacetaldehyde hydrolase (Phosphonatase)	PhnX	2-aminoethylphosphonate transport	3.1.3.18	485321	486130	810	269	Q7ZAP3	AAL19386.1	No Data
STM0434	panE	ketopantoate reductase	2-dehydropantoate 2-reductase	ketopantoate reductase	1.1.1.169	487691	486780	912	303	P37402	AAL19388.1	GO:0006221
STM0439	cyoE		protoheme IX farnesyltransferase	protohaeme IX farnesyltransferase (haeme O biosynthesis)	2.5.1.	494244	493354	891	296	Q8ZRC4	AAL19394.1	No Data
STM0440	qoxD		ubiquinol oxidase subunit IV	cytochrome o ubiquinol oxidase subunit IV	No Data	494585	494256	330	109	Q7CR28	AAL19395.1	No Data
STM0441	cyoA		Cytochrome c oxidase subunit III	cytochrome o ubiquinol oxidase subunit III	1.10.2.-	495199	494585	615	204	Q8ZRC3	AAL19396.1	GO:0004129
STM0442	qoxB		ubiquinol oxidase subunit I	cytochrome o ubiquinol oxidase subunit I	1.10.2.-	497180	495189	1992	663	Q7CR27	AAL19397.1	No Data
STM0443	qoxA		ubiquinol oxidase subunit II	cytochrome o ubiquinol oxidase subunit II	1.10.2.-	498147	497191	957	318	Q7CR26	AAL19398.1	No Data
STM0444	no		AmpG-related protein	MFS family, muropeptide transporter	No Data	500081	498600	1482	493	Q8ZRC2	AAL19399.1	GO:0000270
STM0457	cof		putative hydrolase (1st module)	putative hydrolase	No Data	514231	515049	819	272	Q8ZRB6	AAL19412.1	No Data
STM0463	amtB		ammonium transporter	putative Amt family, ammonium transport protein	No Data	520894	522180	1287	428	Q7CR19	AAL19418.1	GO:0008519
STM0464	tesB		acyl-CoA thioesterase II	acyl-CoA thioesterase II	3.1.2.-	523272	522280	993	330	Q8ZRB2	AAL19419.1	GO:0006637
STM0472	maa		acetyltransferase, CysE/LacA/LpxA/NodL family	maltose o-acetyltransferase	2.3.1.-	527952	527401	552	183	Q8ZRA8	AAL19426.1	GO:0008152
STM0483	apt		adenine phosphoribosyltransferase	adenine phosphoribosyltransferase	2.4.2.7	540242	540793	552	183	Q8ZRA2	AAL19437.1	GO:0003999
STM0488	adk		adenylate kinase	adenylate kinase	2.7.4.3	546041	546685	645	214	P0A1V4	AAL19442.1	No Data
STM0489	hemH		ferrochelatase	ferrochelatase	4.99.1.1	546914	547876	963	320	P37408	AAL19443.1	GO:0004325
STM0491	gsk		inosine-guanosine kinase	inosine-guanosine kinase	2.7.1.73	548952	550301	1350	449	Q8ZRA0	AAL19445.1	GO:0008906
STM0494	aA-25to525		precursor polypeptide	UDP-sugar hydrolase 5-nucleotidase	3.6.1.45	553898	555286	1389	462	P06196	AAL19448.1	No Data
STM0498	no		cation-transporting ATPase	putative copper-transporting ATPase	3.6.3.4	560446	557945	2502	833	Q8ZR95	AAL19452.1	No Data
STM0506	tesA		arylesterase	multifunctional acyl-CoA thioesterase I also functions as	3.1.2.-	566501	565854	648	215	Q8ZR91	AAL19460.1	GO:0004064
STM0515	allA		ureidoglycolate hydrolase	ureidoglycolate hydrolase	No Data	576003	576485	483	160	Q8ZR87	AAL19469.1	No Data
