abbreviation	equation	uppbnd	lowbnd	geneAssociation	Subsystem	name	obj_coef	activation	baseflux	flux
23CCMPtex	23ccmp[e] <=> 23ccmp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	23cCMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
23CGMPtex	23cgmp[e] <=> 23cgmp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	23cGMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
23CUMPtex	23cump[e] <=> 23cump[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	23cUMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
23DAPPAt2pp	23dappa[p] + h[p] --> 23dappa[c] + h[c]	1000	0	NA	Transport Inner Membrane	2 3 diaminopropionate transport in via proton symport	0	NA	0	0
23DAPPAtex	23dappa[e] <=> 23dappa[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	2 3 diaminopropionate transport via diffusion	0	1.15412423660537	0	0
23PDE2pp	23cump[p] + h2o[p] --> 3ump[p] + h[p]	1000	0	STM4403	Nucleotide Salvage Pathway	2 3 cyclic nucleotide phosphodiesterase UMP  periplasm	0	NA	0	0
23PDE4pp	23ccmp[p] + h2o[p] --> 3cmp[p] + h[p]	1000	0	STM4403	Nucleotide Salvage Pathway	2 3 cyclic nucleotide phosphodiesterase CMP  periplasm	0	NA	0	0
23PDE7pp	23camp[p] + h2o[p] --> 3amp[p] + h[p]	1000	0	STM4403	Nucleotide Salvage Pathway	2 3 cyclic nucleotide phosphodiesterase AMP  periplasm	0	NA	0	0
23PDE9pp	23cgmp[p] + h2o[p] --> 3gmp[p] + h[p]	1000	0	STM4403	Nucleotide Salvage Pathway	2 3 cyclic nucleotide phosphodiesterase GMP  periplasm	0	NA	0	0
26DAHtex	26dap-M[e] <=> 26dap-M[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	meso 2 6 Diaminoheptanedioate transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
2AGPA120tipp	2ddecg3p[p] --> 2ddecg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C120 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA140tipp	2tdecg3p[p] --> 2tdecg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C140 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA141tipp	2tdec7eg3p[p] --> 2tdec7eg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C141 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA160tipp	2hdecg3p[p] --> 2hdecg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C160 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA161tipp	2hdec9eg3p[p] --> 2hdec9eg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C161 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA180tipp	2odecg3p[p] --> 2odecg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C180 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPA181tipp	2odec11eg3p[p] --> 2odec11eg3p[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphatidate n C181 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE120tipp	2agpe120[p] --> 2agpe120[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C120 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE140tipp	2agpe140[p] --> 2agpe140[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C140 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE141tipp	2agpe141[p] --> 2agpe141[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C141 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE160tipp	2agpe160[p] --> 2agpe160[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C160 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE161tipp	2agpe161[p] --> 2agpe161[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C161 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE180tipp	2agpe180[p] --> 2agpe180[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C180 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPE181tipp	2agpe181[p] --> 2agpe181[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoethanolamine n C181 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPEAT120	2agpe120[c] + atp[c] + ddca[c] --> amp[c] + pe120[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C120	0	1.38841612797657	0	0
2AGPEAT140	2agpe140[c] + atp[c] + ttdca[c] --> amp[c] + pe140[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C140	0	1.38841612797657	0	0
2AGPEAT141	2agpe141[c] + atp[c] + ttdcea[c] --> amp[c] + pe141[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C141	0	1.38841612797657	0	0
2AGPEAT160	2agpe160[c] + atp[c] + hdca[c] --> amp[c] + pe160[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C160	0	1.38841612797657	0	0
2AGPEAT161	2agpe161[c] + atp[c] + hdcea[c] --> amp[c] + pe161[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C161	0	1.38841612797657	0	0
2AGPEAT180	2agpe180[c] + atp[c] + ocdca[c] --> amp[c] + pe180[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C180	0	1.38841612797657	0	0
2AGPEAT181	2agpe181[c] + atp[c] + ocdcea[c] --> amp[c] + pe181[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho ethanolamine acyltransferase n C181	0	1.38841612797657	0	0
2AGPG120tipp	2agpg120[p] --> 2agpg120[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C120 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG140tipp	2agpg140[p] --> 2agpg140[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C140 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG141tipp	2agpg141[p] --> 2agpg141[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C141 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG160tipp	2agpg160[p] --> 2agpg160[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C160 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG161tipp	2agpg161[p] --> 2agpg161[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C161 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG180tipp	2agpg180[p] --> 2agpg180[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C180 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPG181tipp	2agpg181[p] --> 2agpg181[c]	1000	0	STM3009	Transport Inner Membrane	2 Acyl sn glycero 3 phosphoglycerol n C181 transporter via facilitated diffusion periplasm	0	NA	0	0
2AGPGAT120	2agpg120[c] + atp[c] + ddca[c] --> amp[c] + pg120[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C120	0	1.38841612797657	0	0
2AGPGAT140	2agpg140[c] + atp[c] + ttdca[c] --> amp[c] + pg140[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C140	0	1.38841612797657	0	0
2AGPGAT141	2agpg141[c] + atp[c] + ttdcea[c] --> amp[c] + pg141[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C141	0	1.38841612797657	0	0
2AGPGAT160	2agpg160[c] + atp[c] + hdca[c] --> amp[c] + pg160[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C160	0	1.38841612797657	0	0
2AGPGAT161	2agpg161[c] + atp[c] + hdcea[c] --> amp[c] + pg161[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C161	0	1.38841612797657	0	0
2AGPGAT180	2agpg180[c] + atp[c] + ocdca[c] --> amp[c] + pg180[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C180	0	1.38841612797657	0	0
2AGPGAT181	2agpg181[c] + atp[c] + ocdcea[c] --> amp[c] + pg181[c] + ppi[c]	1388.41612797657	0	STM3010	Glycerophospholipid Metabolism	2 acyl glycerophospho glycerol acyltransferase n C181	0	1.38841612797657	0	0
2DGLCNRx	2dhglcn[c] + h[c] + nadh[c] --> glcn[c] + nad[c]	1507.6529555706	0	STM3646	Alternate Carbon Metabolism	2 dehydro D gluconate reductase NADH	0	1.5076529555706	0	0
2DGLCNRy	2dhglcn[c] + h[c] + nadph[c] --> glcn[c] + nadp[c]	1507.6529555706	0	STM3646	Alternate Carbon Metabolism	2 dehydro D gluconate reductase NADPH	0	1.5076529555706	0	0
2DGULRx	2dhguln[c] + h[c] + nadh[c] --> idon-L[c] + nad[c]	1507.6529555706	0	STM3646	Alternate Carbon Metabolism	2 dehydro L gulonate reductase NADH	0	1.5076529555706	0	0
2DGULRy	2dhguln[c] + h[c] + nadph[c] --> idon-L[c] + nadp[c]	1507.6529555706	0	STM3646	Alternate Carbon Metabolism	2 dehydro L gulonate reductase NADPH	0	1.5076529555706	0	0
2HH24DDH	2hh24dd[c] + h2o[c] --> 4h2kpi[c]	1000	0	STM1105	4 hydroxyphenylacetate catabolism	2hh24dd hydratase	0	NA	0	0
2HH24DDH1	2hh24dd[c] + h2o[c] --> 24dhhed[c]	1000	0	STM1105	Alternate Carbon Metabolism	2hh24dd hydratase	0	NA	0	0
2INSD	2ins[c] --> h2o[c] + dkdi[c]	1000	0	STM4424.S	Alternate Carbon Metabolism	2-Inosose dehydratase	0	NA	0	0
2MAHMP	2mahmp[c] + h2o[c] --> 4ampm[c] + h[c] + pi[c]	1000	0	( STM0457  |  STM1235 )	Cofactor and Prosthetic Group Biosynthesis	2 Methyl 4 amino 5 hydroxymethylpyrimidine diphosphatase	0	NA	0	0
2PGt6pp	2pg[p] + pi[c] --> 2pg[c] + pi[p]	785.790396564689	0	STM2399	Transport Inner Membrane	D Glycerate 2 phosphate phosphate antiporter periplasm	0	0.785790396564689	0	0
2PGtex	2pg[e] <=> 2pg[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	D Glycerate 2 phosphate transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
34DHPACDO	34dhpacet[c] + o2[c] --> 2h5cmmusa[c] + h[c]	1000	0	STM1103	4 hydroxyphenylacetate catabolism	3 4 dihydroxyphenylacetate 2 3 dioxygenase	0	NA	0	0
34dhpactex	34dhpac[e] <=> 34dhpac[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	dihydroxyphenylacetaldehyde transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
35PDE	camp[c] + h2o[c] --> amp[c] + h[c]	1000	0	NA	Nucleotide Salvage Pathway	3,5-cAMP Phosphodiesterase	0	NA	0	0
3AMPtex	3amp[e] <=> 3amp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	3AMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
3CMPtex	3cmp[e] <=> 3cmp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	3CMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
3GMPtex	3gmp[e] <=> 3gmp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM1473  |  STM2267  |  STM0999 )	Transport Outer Membrane Porin	3GMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
3HAD100	3hdecACP[c] --> h2o[c] + tdec2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C100	0	1.39627004416369	0.10561928993208	0
3HAD120	3hddecACP[c] --> h2o[c] + tddec2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C120	0	1.39627004416369	0.0983412834906439	0
3HAD121	3hcddec5eACP[c] --> h2o[c] + t3c5ddeceACP[c]	1396.27004416369	0	( STM0227  |  STM1067 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C121	0	1.39627004416369	0.00727800644143579	0
3HAD140	3hmrsACP[c] --> h2o[c] + tmrs2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C140	0	1.39627004416369	0.0961017130355945	0
3HAD141	3hcmrs7eACP[c] --> h2o[c] + t3c7mrseACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C141	0	1.39627004416369	0.00727800644143579	0
3HAD160	3hpalmACP[c] --> h2o[c] + tpalm2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C160	0	1.39627004416369	0.0810977860617131	0
3HAD161	3hcpalm9eACP[c] --> h2o[c] + t3c9palmeACP[c]	1396.27004416369	0	( STM0227  |  STM1067 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C161	0	1.39627004416369	0.00727800644143579	0
3HAD180	3hoctaACP[c] --> h2o[c] + toctd2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C180	0	1.39627004416369	0.0020794304118388	0
3HAD181	3hcvac11eACP[c] --> h2o[c] + t3c11vaceACP[c]	1396.27004416369	0	( STM0227  |  STM1067 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C181	0	1.39627004416369	0.00311914561775819	0
3HAD40	3haACP[c] --> but2eACP[c] + h2o[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C40	0	1.39627004416369	0.10561928993208	0
3HAD60	3hhexACP[c] --> h2o[c] + thex2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C60	0	1.39627004416369	0.10561928993208	0
3HAD80	3hoctACP[c] --> h2o[c] + toct2eACP[c]	1396.27004416369	0	( STM1067  |  STM0227 )	Cell Envelope Biosynthesis	3 hydroxyacyl acyl carrier protein dehydratase n C80	0	1.39627004416369	0.10561928993208	0
3KGK	3dhguln[c] + atp[c] --> 3dhgulnp[c] + adp[c] + h[c]	1955.82268166002	0	STM3674	Alternate Carbon Metabolism	3 keto L gulonate kinase	0	1.95582268166002	0	0
3NTD2pp	3ump[p] + h2o[p] --> pi[p] + uri[p]	1000	0	STM4403	Nucleotide Salvage Pathway	3 nucleotidase UMP  periplasm	0	NA	0	0
3NTD4pp	3cmp[p] + h2o[p] --> cytd[p] + pi[p]	908.33600785108	0	( STM4403  |  STM2927 )	Nucleotide Salvage Pathway	3 nucleotidase CMP  periplasm	0	0.90833600785108	0	0
3NTD7pp	3amp[p] + h2o[p] --> adn[p] + pi[p]	908.33600785108	0	( STM4403  |  STM2927 )	Nucleotide Salvage Pathway	3 nucleotidase AMP  periplasm	0	0.90833600785108	0	0
3NTD9pp	3gmp[p] + h2o[p] --> gsn[p] + pi[p]	1000	0	STM4403	Nucleotide Salvage Pathway	3 nucleotidase GMP  periplasm	0	NA	0	0
3OAR100	3odecACP[c] + h[c] + nadph[c] <=> 3hdecACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C100	0	1.31911279444073	0.105619289932065	0
3OAR120	3oddecACP[c] + h[c] + nadph[c] <=> 3hddecACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C120	0	1.31911279444073	0.0983412834906403	0
3OAR121	3ocddec5eACP[c] + h[c] + nadph[c] --> 3hcddec5eACP[c] + nadp[c]	1319.11279444073	0	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C121	0	1.31911279444073	0.00727800644143579	0
3OAR140	3omrsACP[c] + h[c] + nadph[c] <=> 3hmrsACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C140	0	1.31911279444073	0.0978933693996851	0
3OAR141	3ocmrs7eACP[c] + h[c] + nadph[c] --> 3hcmrs7eACP[c] + nadp[c]	1319.11279444073	0	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C141	0	1.31911279444073	0.00727800644143579	0
3OAR160	3opalmACP[c] + h[c] + nadph[c] <=> 3hpalmACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C160	0	1.31911279444073	0.0810977860617186	0
3OAR161	3ocpalm9eACP[c] + h[c] + nadph[c] --> 3hcpalm9eACP[c] + nadp[c]	1319.11279444073	0	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C161	0	1.31911279444073	0.00727800644143579	0
3OAR180	3ooctdACP[c] + h[c] + nadph[c] <=> 3hoctaACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C180	0	1.31911279444073	0.00207943041186809	0
3OAR181	3ocvac11eACP[c] + h[c] + nadph[c] --> 3hcvac11eACP[c] + nadp[c]	1319.11279444073	0	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C181	0	1.31911279444073	0.00311914561775819	0
3OAR40	actACP[c] + h[c] + nadph[c] <=> 3haACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C40	0	1.31911279444073	0.105619289932065	0
3OAR60	3ohexACP[c] + h[c] + nadph[c] <=> 3hhexACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C60	0	1.31911279444073	0.105619289932065	0
3OAR80	3ooctACP[c] + h[c] + nadph[c] <=> 3hoctACP[c] + nadp[c]	1319.11279444073	-1319.11279444073	STM1195	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein reductase n C80	0	1.31911279444073	0.105619289932065	0
3OAS100	h[c] + malACP[c] + ocACP[c] --> 3odecACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C100	0	1.1542422917373	0.10561928993208	0
3OAS120	dcaACP[c] + h[c] + malACP[c] --> 3oddecACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C120	0	1.1542422917373	0.0983412834906439	0
3OAS121	cdec3eACP[c] + h[c] + malACP[c] --> 3ocddec5eACP[c] + ACP[c] + co2[c]	1112.34267847052	0	STM2378	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C121	0	1.11234267847052	0.00727800644143579	0
3OAS140	ddcaACP[c] + h[c] + malACP[c] --> 3omrsACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C140	0	1.1542422917373	0.097893369399634	0
3OAS141	cddec5eACP[c] + h[c] + malACP[c] --> 3ocmrs7eACP[c] + ACP[c] + co2[c]	1112.34267847052	0	STM2378	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C141	0	1.11234267847052	0.00727800644143579	0
3OAS160	h[c] + malACP[c] + myrsACP[c] --> 3opalmACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C160	0	1.1542422917373	0.0810977860617131	0
3OAS161	h[c] + malACP[c] + tdeACP[c] --> 3ocpalm9eACP[c] + ACP[c] + co2[c]	1112.34267847052	0	STM2378	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C161	0	1.11234267847052	0.00727800644143579	0
3OAS180	h[c] + malACP[c] + palmACP[c] --> 3ooctdACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM1197  |  STM2378 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C180	0	1.1542422917373	0.0020794304118388	0
3OAS181	h[c] + hdeACP[c] + malACP[c] --> 3ocvac11eACP[c] + ACP[c] + co2[c]	1154.2422917373	0	STM1197	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C181	0	1.1542422917373	0.00311914561775819	0
3OAS60	butACP[c] + h[c] + malACP[c] --> 3ohexACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C60	0	1.1542422917373	0.10561928993208	0
3OAS80	h[c] + hexACP[c] + malACP[c] --> 3ooctACP[c] + ACP[c] + co2[c]	1154.2422917373	0	( STM2378  |  STM1197 )	Cell Envelope Biosynthesis	3 oxoacyl acyl carrier protein synthase n C80	0	1.1542422917373	0.10561928993208	0
3PEPTabcpp	LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c]	962.742713742926	0	( STM1679  &  STM1745  &  STM1744  &  STM1743  &  STM1742 )	Murein Recycling	tripeptide LalaDgluMdap transport via ABC system periplasm	0	0.962742713742926	0	0
